movie_id,genre_id
983,18
642,80
642,18
642,36
642,37
655,18
10341,53
10341,18
10341,878
10341,28
639,35
639,10749
639,18
30180,99
30180,10402
31388,28
31388,10751
31388,35
41801,18
41801,10749
66034,18
66034,28
66034,35
66034,80
16179,27
16179,9648
16179,53
61536,35
18762,35
18762,10749
814,35
814,27
41671,27
27214,27
27214,53
52263,27
33519,27
16235,27
41848,27
25944,27
26233,27
49126,14
49126,18
49126,27
49126,53
37843,878
37843,27
37843,35
32146,27
32146,53
229,27
229,878
13549,27
9529,18
9529,27
9529,53
1598,80
1598,53
377,27
653,18
653,14
653,27
28198,27
31640,80
31640,18
31640,53
25189,35
25189,18
25189,10749
145,18
145,10749
199,878
199,28
199,12
199,53
7863,18
12498,18
9279,10751
9279,35
17204,99
17204,18
21539,14
21539,18
21539,35
21539,878
21539,10749
21539,10751
85589,18
85589,53
12709,35
12709,18
12709,10749
20539,18
20539,36
64900,18
64900,9648
562,28
562,53
152,878
152,12
152,9648
174,878
174,28
174,12
174,53
172,878
172,28
172,12
172,53
154,28
154,12
154,878
154,53
157,878
157,28
157,12
157,53
168,878
168,12
364,28
364,14
11967,80
11967,28
11967,12
11967,18
11967,37
9086,37
9086,12
621,10749
10173,28
10173,53
55687,28
55687,878
55687,53
168535,18
8845,28
8845,53
46681,28
46681,37
578,27
578,53
578,12
17692,53
17692,27
17795,35
17795,12
75,35
75,14
75,878
13891,18
13891,35
378,35
378,80
10896,35
10896,18
2322,35
2322,80
2322,18
41240,18
26949,18
26949,10749
9819,18
31908,36
31908,18
46027,80
46027,18
46027,53
3179,16
3179,35
1802,18
1802,53
4232,80
4232,27
4232,9648
30285,18
30285,10749
30285,10751
30285,35
58102,18
58102,36
18451,18
18451,10749
49935,10749
49935,80
49935,18
8818,36
8818,18
8818,10402
36758,18
36758,10749
36040,12
36040,18
74239,99
74239,10402
9415,28
9415,18
9415,9648
9415,53
9415,80
42449,99
42449,10752
12145,35
12145,10749
42424,28
42424,12
42424,35
42424,10751
42424,10749
34314,28
34314,53
34314,80
2892,18
9404,28
9404,12
9404,35
9404,80
9404,18
9404,53
9622,28
9622,35
8860,28
8860,12
8860,35
8860,80
8860,53
14832,18
9619,28
9619,12
9619,53
40506,35
31000,28
31000,35
4104,35
4104,18
4104,10749
26306,18
26306,10749
43775,18
43775,35
43775,10749
43775,10769
14908,28
14908,35
14908,10749
784,10402
784,18
784,35
12489,80
12489,18
12489,35
16448,10402
16448,35
55936,18
55936,10752
17894,35
17894,10749
58911,35
58911,10769
58911,10749
17949,28
17949,35
1968,18
1968,35
1968,10749
61563,28
61563,35
61563,18
61563,10769
61563,10749
66,80
66,18
66,53
20735,10751
20735,35
11419,35
25796,35
25796,18
25796,10749
638,18
638,53
638,9648
25624,18
25624,36
9366,80
9366,18
9366,53
21915,35
50091,18
50091,10749
18420,80
18420,53
18420,18
9446,35
9446,10751
28005,18
28005,36
28005,10749
27322,35
