id,company_name
3299,ApolloMovie Beteiligungs
11846,Hakuhodo DY Media Partners
7201,Norddeutscher Rundfunk (NDR)
204,Wüste Filmproduktion
203,Panfilm
2525,Avalanche Productions
200,Corazón International
7558,Bohemian Films
7064,Cinemasia
76911,Région Poitou-Charentes
20346,Région Bretagne
1232,2003 Productions
6784,Skinworxxx
6782,Moviola Film och Television AB
2226,Media 8 Entertainment
23756,Vincent Gallo Productions
34529,Vice Versa Film
2243,Hammer & Tongs
15139,Tele+
94847,East Film Company
6596,UniKorea Pictures
12066,O'Connor Brothers
87851,Matrix Film Finance
87850,MFF (Sound of Thunder)
10187,Costa Films
95364,Electrascope
87849,Jericho Productions Ltd.
2981,QI Quality International GmbH Co. KG
1169,RF2K Productions
844,Sofica Valor 6
38015,Busted Tranny
25091,Your Face Goes Here Entertainment
51764,The Pitt Group
51763,Living Pictures
3360,Appleseed Film Partners
35445,Carol Baum Productions
812,Deuce Three Productions
19234,Crystalcreek Ltd.
828,Ultra Films
3574,Denver and Delilah Productions
53903,Sud-Est Productions
53902,Samy Boy Entertainment
53901,SF Norge Filmparken
53427,"Dinamo Story,"
93156,Baby Films
1479,teamWorx Produktion für Kino und Fernsehen GmbH
8006,Chez Wam
17338,Creators Company Connection
19858,Shanghai Film Group Corporation
6005,Hacker Productions
3078,HBO Pictures
11224,Benjamin Productions
20293,Occidental Media Corp.
4735,Namco Tales Studio Ltd.
3621,Sidonie
47397,Yamada Right Vision Corporation
6949,Mandarin Films Distribution Co
2806,South Australian Film Corporation
94956,Youth Film Studio of Beijing Film Academy
18938,Eclectic Films
2007,Imperial Filmproduktion
3956,Parkfield Entertainment
15289,Konigsberg/Sanitsky Company
1193,Lorimar Television
13660,Cinema City
84938,Laurenfilm
18073,Actual Films
76530,Cinema City Company Limited
8760,AAR Films
6928,Mr. Yellowbeard Productions Limited & Company
77292,Cinéfondation
84815,M Company
100868,Doghouse Pictures
5775,Federiz
38100,Tristone Entertainment Inc.
124,Südwestrundfunk
88014,black sand productions
16599,Yellowbeard Associates
7054,Landing Patch Productions
13433,Seasonal Film Corporation
7381,Alberto Grimaldi Productions
76494,Hiller Productions
25470,Icelandic Film Corporation
17953,Comedian Intl Enterprise Productions (C.I.E.)
2437,Producciones Zohar
41311,Spelling Goldberg
23846,Harbour Productions Limited
3602,Rialto Film Preben-Philipsen
1639,Les Films Jacques Leitienne
58333,Compulsion Inc.
2839,El Camino Pictures
71371,Jobete Productions
71370,Weston Productions
21962,The Complex Studio
11656,Producciones Panicas
11745,Office national du film du Canada (ONF)
4241,West Film
19210,Fubu Films
26727,Universal Television
11408,Ministerio de Cultura
21466,Simar Films
1939,FFD
3276,Elkins Entertainment
8425,Marvin Schwartz Productions
39,Docurama
1189,Greenlawn Productions
1188,William Dozier Productions
11971,Jerry Bresler Productions
60449,Kappa
14840,Orchard Productions
1347,Aubrey Schenck Productions
13412,Imagica
68551,J D Productions
3521,First Independent Pictures
53055,Insider Films
53053,Best Man Filmproduktions
60981,Perlberg-Seaton Productions
44752,Lisa and David Company
3266,Otto Preminger Films
6438,Muse Entertainment Enterprises
12201,Pathé-America Distributing Company
12982,Suomen Filmiteollisuus
53221,Filmorsa
53220,Sevilla Films
34664,Maja Films
46522,Asian Union Film Ltd.
35444,Independent Film Group
10211,Alfran Productions
6308,U.S. Office of War Information
886,Kinokompaniya CTB
29119,Devon/Persky-Bright
11476,Jean-Louis Nounez
1965,Vicomte de Noailles
20396,Kernos Filmproduktionsgesellschaft & Company
5774,Film Duemila
85822,Luis Buñuel
70279,Metro Pictures
615,Nord Ouest Production
54997,WR Universal Group
2568,Lunar Films
8922,Turner Entertainment
3503,Arcane Pictures
52767,Cinealpha KG
3865,York Pictures Corporation
1552,Berit Films
26949,Hostage GmbH
5533,Jerry Lewis Productions
42209,Peter Frankfurt Productions
4493,Télévision Suisse Romande
4492,P%C3%A9riph%C3%A9ria
8921,United Plankton Pictures
1569,Yash Raj Films
560,Film Colony
6016,403 Productions
11357,Atlantic Television
1838,Firm Films
1836,Contrafilm
15065,Movie Ventures
54030,Academy Films
55405,Saw Productions Inc.
22615,Chan Ye-Cheng
52724,Film Council Premiere Fund
1187,Michael London Productions
1052,Darkfibre Entertainment Ltd.
57751,Patalex Productions
768,Ghost House Pictures
23439,MDBF Filmgesellschaft mbH & Company KG
23438,Friday Night Lights LLC
3497,Corporation Image M & M
99352,Almaz Film Productions
410,Sovkino
99351,Wajnbrosse Productions
99350,Panic Productions
37861,Zentropa Real ApS
2288,Michael Cerenzie Productions
7997,Eurasia Investments
41738,3L Productions
93114,Elementfilm A/S
